product_name,Negative,Neutral,Positive,total_reviews,pct_positive,pct_negative
B004IRCHKW,0,0,3,3,100.0,0.0
B00020HHM2,0,1,2,3,66.66666666666666,0.0
B001EQ55MM,0,0,3,3,100.0,0.0
B001EQ596O,0,0,3,3,100.0,0.0
B001EQ5L0I,0,0,3,3,100.0,0.0
B001EQ5F9K,0,1,2,3,66.66666666666666,0.0
B001GCTTRQ,1,2,0,3,0.0,33.33333333333333
B001GL6GBE,0,0,3,3,100.0,0.0
B001GINOQC,0,0,3,3,100.0,0.0
B001GINOP8,0,1,2,3,66.66666666666666,0.0
B001HN5Z4K,0,0,3,3,100.0,0.0
B0008IT4OM,0,0,3,3,100.0,0.0
B001P05K7W,1,0,2,3,66.66666666666666,33.33333333333333
B001P05K7M,1,1,1,3,33.33333333333333,33.33333333333333
B001ONVON4,0,0,3,3,100.0,0.0
B001PQNV6S,0,0,3,3,100.0,0.0
B001EO5TWU,0,0,3,3,100.0,0.0
B001EO5Y8Y,0,0,3,3,100.0,0.0
B001EO65KA,1,0,2,3,66.66666666666666,33.33333333333333
B001EO616S,0,0,3,3,100.0,0.0
B001EO77FC,0,1,2,3,66.66666666666666,0.0
B001EO6ESS,0,0,3,3,100.0,0.0
B004P4POZ8,0,0,3,3,100.0,0.0
B004R8L71W,0,1,2,3,66.66666666666666,0.0
B004UC7CMS,0,0,3,3,100.0,0.0
B004UC0GIU,0,1,2,3,66.66666666666666,0.0
B001KUSLGY,1,0,2,3,66.66666666666666,33.33333333333333
B001KUOH26,1,0,2,3,66.66666666666666,33.33333333333333
B004YV80O4,0,1,2,3,66.66666666666666,0.0
B004ZIER34,0,0,3,3,100.0,0.0
B0051ZCNIQ,0,1,2,3,66.66666666666666,0.0
B0058AMY74,0,0,3,3,100.0,0.0
B001E50R4Y,0,0,3,3,100.0,0.0
B001E0TBA0,0,1,2,3,66.66666666666666,0.0
B001E5E074,0,0,3,3,100.0,0.0
B001E8DHPW,0,0,3,3,100.0,0.0
B001EO5R0Y,0,1,2,3,66.66666666666666,0.0
B001EO5R04,0,1,2,3,66.66666666666666,0.0
B001EO5U8I,1,0,2,3,66.66666666666666,33.33333333333333
B00020HHGS,0,0,3,3,100.0,0.0
B004JRXZKM,1,1,1,3,33.33333333333333,33.33333333333333
B004JRO1S2,0,0,3,3,100.0,0.0
B001M08YZA,0,0,3,3,100.0,0.0
B001OHX1ZY,0,0,3,3,100.0,0.0
B001Q9EFW8,0,1,2,3,66.66666666666666,0.0
B001SITYJ6,1,0,2,3,66.66666666666666,33.33333333333333
B001TLY7DK,0,1,2,3,66.66666666666666,0.0
B001VJ0B0I,0,1,2,3,66.66666666666666,0.0
B004E4CCSQ,1,0,2,3,66.66666666666666,33.33333333333333
B004EE0TYK,0,0,3,3,100.0,0.0
B004G5ZYOW,1,2,0,3,0.0,33.33333333333333
B004FEJ968,0,1,2,3,66.66666666666666,0.0
B004F1LNDI,0,0,3,3,100.0,0.0
B00020XNTS,0,0,3,3,100.0,0.0
B001CWX7EG,0,0,3,3,100.0,0.0
B001D0IZBW,0,0,3,3,100.0,0.0
B001D0GVAO,0,0,3,3,100.0,0.0
